name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse
5211,110.0,,,1.03992,PQ,52171-1,0,TIMAHOE,TIMAHOE,1.0,11.0,11.0,IE,-3.2432
5221,110.0,,,1.05389,PQ,52271-1,0,TULLABRACK,TULLABRACK,1.0,4.0,4.0,IE,9.5251
5222,220.0,,,1.05935,PQ,,0,SHELLYBANKSB,SHELLYBANKSB,1.0,11.0,11.0,IE,-1.9586
5231,110.0,,,1.05161,PQ,,0,TRINITY,TRINITY,1.0,11.0,11.0,IE,-7.8912
5241,110.0,,,1.06768,PQ,52476-1,0,TAWNAGHMORE,TAWNAGHMORE,1.0,2.0,2.0,IE,7.4135
5251,110.0,,,1.06782,PQ,52477-1,0,TAWN_B,TAWN_B,1.0,2.0,2.0,IE,7.3806
5261,110.0,,,1.05658,PQ,52671-1,0,TRIEN,TRIEN,1.0,5.0,5.0,IE,8.7779
5271,110.0,,,1.05806,PQ,52700-1,0,CAUTEEN,CAUTEEN,1.0,8.0,8.0,IE,7.8339
5274,110.0,,,1.05806,PQ,52771-1,0,CAUTEEN,CAUTEEN,1.0,8.0,8.0,IE,7.8339
5281,110.0,,,1.05093,PQ,52871-1,0,TRALEE,TRALEE,1.0,5.0,5.0,IE,8.1339
5291,110.0,,,1.02529,PQ,52971-1,0,TULLABEG,TULLABEG,1.0,9.0,9.0,IE,4.9018
5301,110.0,,,1.04858,PQ,67213-1,0,THURLES,THURLES,1.0,8.0,8.0,IE,7.3986
5321,110.0,,,1.04427,PQ,53205-1,0,THORNSBERRY,THORNSBERRY,1.0,11.0,11.0,IE,-3.5494
5331,110.0,,,1.04051,PQ,,0,YELLOWMEADOW,YELLOWMEADOW,1.0,11.0,11.0,IE,-8.444
5341,110.0,,,1.06196,PQ,53404-1,0,TONROE,TONROE,1.0,2.0,2.0,IE,3.6432
5351,110.0,,,1.0336,PQ,53571-1,0,TIMONEY,TIMONEY,1.0,8.0,8.0,IE,8.2968
5361,110.0,,,1.03909,PQ,53671-1,0,TRILLICK,TRILLICK,1.0,1.0,1.0,IE,-12.7902
5381,110.0,,,1.05731,PQ,53871-1,0,TIPPERARY,TIPPERARY,1.0,8.0,8.0,IE,7.2367
5441,110.0,,,1.04714,PQ,54471-1,0,WATERFORD,WATERFORD,1.0,9.0,9.0,IE,8.8848
5451,110.0,,,1.04302,PQ,54571-1,0,ROSSPILE,ROSSPILE,1.0,9.0,9.0,IE,7.7829
5462,220.0,,,1.06886,PQ,,0,WOODLAND,WOODLAND,1.0,11.0,11.0,IE,0.2027
